video_id,activity_id,start_second,end_second
Rear_view_User_id_24026_NoAudio_3,18,0,7
Rear_view_User_id_24026_NoAudio_3,10,8,31
Rear_view_User_id_24026_NoAudio_3,9,41,59
Rear_view_User_id_24026_NoAudio_3,0,69,86
Rear_view_User_id_24026_NoAudio_3,3,96,120
Rear_view_User_id_24026_NoAudio_3,1,130,147
Rear_view_User_id_24026_NoAudio_3,12,157,179
Rear_view_User_id_24026_NoAudio_3,2,189,204
Rear_view_User_id_24026_NoAudio_3,8,214,238
Rear_view_User_id_24026_NoAudio_3,7,248,272
Rear_view_User_id_24026_NoAudio_3,17,282,304
Rear_view_User_id_24026_NoAudio_3,16,314,331
Rear_view_User_id_24026_NoAudio_3,6,341,359
Rear_view_User_id_24026_NoAudio_3,5,369,385
Rear_view_User_id_24026_NoAudio_3,14,395,417
Rear_view_User_id_24026_NoAudio_3,15,427,445
Rear_view_User_id_24026_NoAudio_3,13,455,473
Rear_view_User_id_24026_NoAudio_3,11,483,505
Rear_view_User_id_24026_NoAudio_3,4,515,530
Rear_view_User_id_24026_NoAudio_4,18,0,22
Rear_view_User_id_24026_NoAudio_4,10,23,46
Rear_view_User_id_24026_NoAudio_4,9,56,74
Rear_view_User_id_24026_NoAudio_4,0,84,101
Rear_view_User_id_24026_NoAudio_4,3,111,135
Rear_view_User_id_24026_NoAudio_4,1,145,162
Rear_view_User_id_24026_NoAudio_4,12,172,194
Rear_view_User_id_24026_NoAudio_4,2,204,219
Rear_view_User_id_24026_NoAudio_4,8,229,253
Rear_view_User_id_24026_NoAudio_4,7,263,287
Rear_view_User_id_24026_NoAudio_4,17,297,319
Rear_view_User_id_24026_NoAudio_4,16,329,347
Rear_view_User_id_24026_NoAudio_4,6,357,375
Rear_view_User_id_24026_NoAudio_4,5,385,401
Rear_view_User_id_24026_NoAudio_4,14,411,433
Rear_view_User_id_24026_NoAudio_4,15,443,461
Rear_view_User_id_24026_NoAudio_4,13,471,489
Rear_view_User_id_24026_NoAudio_4,11,499,521
Rear_view_User_id_24026_NoAudio_4,4,531,546
Rear_view_User_id_24026_NoAudio_4,18,547,579
Rear_view_user_id_24491_NoAudio_1,18,0,17
Rear_view_user_id_24491_NoAudio_1,3,18,45
Rear_view_user_id_24491_NoAudio_1,14,45,54
Rear_view_user_id_24491_NoAudio_1,2,74,105
Rear_view_user_id_24491_NoAudio_1,8,113,117
Rear_view_user_id_24491_NoAudio_1,5,137,166
Rear_view_user_id_24491_NoAudio_1,11,173,177
Rear_view_user_id_24491_NoAudio_1,17,196,227
Rear_view_user_id_24491_NoAudio_1,7,234,239
Rear_view_user_id_24491_NoAudio_1,15,262,274
Rear_view_user_id_24491_NoAudio_1,9,285,289
Rear_view_user_id_24491_NoAudio_1,0,303,318
Rear_view_user_id_24491_NoAudio_1,4,356,364
Rear_view_user_id_24491_NoAudio_1,1,386,399
Rear_view_user_id_24491_NoAudio_1,10,411,414
Rear_view_user_id_24491_NoAudio_1,16,444,459
Rear_view_user_id_24491_NoAudio_1,6,486,515
Rear_view_user_id_24491_NoAudio_1,12,516,524
Rear_view_user_id_24491_NoAudio_1,13,544,552
Rear_view_user_id_24491_NoAudio_0,18,0,120
Rear_view_user_id_24491_NoAudio_0,3,126,146
Rear_view_user_id_24491_NoAudio_0,2,171,208
Rear_view_user_id_24491_NoAudio_0,8,212,216
Rear_view_user_id_24491_NoAudio_0,5,233,265
Rear_view_user_id_24491_NoAudio_0,11,268,274
