video_id,activity_id,start_second,end_second
Right_side_window_User_id_24026_NoAudio_4,18,0,22
Right_side_window_User_id_24026_NoAudio_4,10,23,46
Right_side_window_User_id_24026_NoAudio_4,9,56,74
Right_side_window_User_id_24026_NoAudio_4,0,84,101
Right_side_window_User_id_24026_NoAudio_4,3,111,135
Right_side_window_User_id_24026_NoAudio_4,1,145,162
Right_side_window_User_id_24026_NoAudio_4,12,172,194
Right_side_window_User_id_24026_NoAudio_4,2,204,219
Right_side_window_User_id_24026_NoAudio_4,8,229,253
Right_side_window_User_id_24026_NoAudio_4,7,263,287
Right_side_window_User_id_24026_NoAudio_4,17,297,319
Right_side_window_User_id_24026_NoAudio_4,16,329,347
Right_side_window_User_id_24026_NoAudio_4,6,357,375
Right_side_window_User_id_24026_NoAudio_4,5,385,401
Right_side_window_User_id_24026_NoAudio_4,14,411,433
Right_side_window_User_id_24026_NoAudio_4,15,443,461
Right_side_window_User_id_24026_NoAudio_4,13,471,489
Right_side_window_User_id_24026_NoAudio_4,11,499,521
Right_side_window_User_id_24026_NoAudio_4,4,531,546
Right_side_window_User_id_24026_NoAudio_4,18,547,579
Right_side_window_User_id_24026_NoAudio_3,18,0,7
Right_side_window_User_id_24026_NoAudio_3,10,8,31
Right_side_window_User_id_24026_NoAudio_3,9,41,59
Right_side_window_User_id_24026_NoAudio_3,0,69,86
Right_side_window_User_id_24026_NoAudio_3,3,96,120
Right_side_window_User_id_24026_NoAudio_3,1,130,147
Right_side_window_User_id_24026_NoAudio_3,12,157,179
Right_side_window_User_id_24026_NoAudio_3,2,189,204
Right_side_window_User_id_24026_NoAudio_3,8,214,238
Right_side_window_User_id_24026_NoAudio_3,7,248,272
Right_side_window_User_id_24026_NoAudio_3,17,282,304
Right_side_window_User_id_24026_NoAudio_3,16,314,331
Right_side_window_User_id_24026_NoAudio_3,6,341,359
Right_side_window_User_id_24026_NoAudio_3,5,369,385
Right_side_window_User_id_24026_NoAudio_3,14,395,417
Right_side_window_User_id_24026_NoAudio_3,15,427,445
Right_side_window_User_id_24026_NoAudio_3,13,455,473
Right_side_window_User_id_24026_NoAudio_3,11,483,505
Right_side_window_User_id_24026_NoAudio_3,4,515,530
Rightside_window_user_id_24491_NoAudio_1,18,0,17
Rightside_window_user_id_24491_NoAudio_1,3,18,45
Rightside_window_user_id_24491_NoAudio_1,14,45,54
Rightside_window_user_id_24491_NoAudio_1,2,74,105
Rightside_window_user_id_24491_NoAudio_1,8,113,117
Rightside_window_user_id_24491_NoAudio_1,5,137,166
Rightside_window_user_id_24491_NoAudio_1,11,173,177
Rightside_window_user_id_24491_NoAudio_1,17,196,227
Rightside_window_user_id_24491_NoAudio_1,7,234,239
Rightside_window_user_id_24491_NoAudio_1,15,262,274
Rightside_window_user_id_24491_NoAudio_1,9,285,289
Rightside_window_user_id_24491_NoAudio_1,0,303,318
Rightside_window_user_id_24491_NoAudio_1,4,356,364
Rightside_window_user_id_24491_NoAudio_1,1,386,399
Rightside_window_user_id_24491_NoAudio_1,10,411,414
Rightside_window_user_id_24491_NoAudio_1,16,444,459
Rightside_window_user_id_24491_NoAudio_1,6,486,515
Rightside_window_user_id_24491_NoAudio_1,12,516,524
Rightside_window_user_id_24491_NoAudio_1,13,544,552
Rightside_window_user_id_24491_NoAudio_0,18,0,120
Rightside_window_user_id_24491_NoAudio_0,3,126,146
Rightside_window_user_id_24491_NoAudio_0,2,171,208
Rightside_window_user_id_24491_NoAudio_0,8,212,216
Rightside_window_user_id_24491_NoAudio_0,5,233,265
Rightside_window_user_id_24491_NoAudio_0,11,268,274
Rightside_window_user_id_24491_NoAudio_0,17,293,322
Rightside_window_user_id_24491_NoAudio_0,7,332,336
Rightside_window_user_id_24491_NoAudio_0,15,358,386
Rightside_window_user_id_24491_NoAudio_0,9,391,422
Rightside_window_user_id_24491_NoAudio_0,0,423,450
Rightside_window_user_id_24491_NoAudio_0,4,453,469
Rightside_window_user_id_24491_NoAudio_0,1,480,500
Rightside_window_user_id_24491_NoAudio_0,10,505,509
Rightside_window_user_id_24491_NoAudio_0,16,554,579
Rightside_window_user_id_24491_NoAudio_0,6,581,605
Rightside_window_user_id_24491_NoAudio_0,12,606,625
Rightside_window_user_id_24491_NoAudio_0,13,638,650
Rightside_window_user_id_35133_NoAudio_2,12,0,23
Rightside_window_user_id_35133_NoAudio_2,0,32,49
Rightside_window_user_id_35133_NoAudio_2,1,58,75
Rightside_window_user_id_35133_NoAudio_2,2,85,103
Rightside_window_user_id_35133_NoAudio_2,15,112,129
Rightside_window_user_id_35133_NoAudio_2,17,140,164
Rightside_window_user_id_35133_NoAudio_2,9,174,198
Rightside_window_user_id_35133_NoAudio_2,5,207,228
Rightside_window_user_id_35133_NoAudio_2,14,237,253
Rightside_window_user_id_35133_NoAudio_2,3,262,279
Rightside_window_user_id_35133_NoAudio_2,8,288,310
